aod_055_mean,aod_055_median,aod_055_point,date,pixel_count
0.3357921552619859,0.335,,2021-08-18,105
0.4814031798893485,0.4585000000000001,,2021-08-19,73
0.299,0.299,,2021-08-19,1
0.3415,0.3415,,2021-08-21,2
0.4314025467241734,0.434,,2021-08-21,37
0.6873118856121538,0.319,,2021-09-01,5
0.9576824379324379,0.966,,2021-09-13,38
0.3640776084967581,0.3408696808510638,,2021-09-17,98
0.2926,0.28300000000000003,,2021-09-23,5
0.37251690747002764,0.371,,2021-09-27,26
0.27130696869762666,0.278,,2021-10-10,73
0.36362982832618024,0.354,,2021-10-19,3
0.3441783783783784,0.35100000000000003,,2021-10-22,3
0.2854229440221147,0.274,,2021-10-28,17
0.3785759345794393,0.382,,2021-10-29,10
0.30061983471074377,0.303,,2021-10-29,1
0.4057142857142857,0.40900000000000003,,2021-10-30,7
0.3596765961311415,0.36633333333333334,,2021-11-02,88
0.421,0.421,,2021-11-02,1
0.39811111111111114,0.399,,2021-11-03,9
0.29510714285714296,0.28800000000000003,,2021-11-04,3
0.398,0.398,,2021-11-05,1
0.38134989887315807,0.374,,2021-11-06,27
1.0294218200100553,1.018,,2021-11-07,8
0.19388424763634426,0.195,0.271,2021-11-08,73
0.20563952900747928,0.199,,2021-11-08,77
0.23125238981998752,0.23900000000000002,,2021-11-12,65
0.3313333333333333,0.327,,2021-11-12,3
0.36952398866523345,0.362,,2021-11-21,80
0.38612499999999994,0.3845,,2021-11-23,8
0.2505118644067797,0.247,,2021-11-26,1
0.35371678914641047,0.356,,2021-11-28,13
0.14064393843345077,0.134,0.125,2021-12-05,308
0.40731742424242434,0.402,,2021-12-05,4
0.313874660364721,0.315,0.379,2021-12-06,309
0.34199999999999997,0.35250000000000004,,2021-12-06,4
0.36085631067961166,0.363,,2021-12-07,16
0.33077260379222373,0.331,,2021-12-08,143
0.4007684824902724,0.402,,2021-12-08,4
0.3282296510168214,0.33299999999999996,,2021-12-10,156
0.3507953204971969,0.3488298865910607,,2021-12-11,159
0.38220647773279354,0.386,,2021-12-14,19
0.3557094412331407,0.34700000000000003,,2021-12-15,30
0.35051880757420667,0.358,,2021-12-15,30
0.2931134406589292,0.305,,2021-12-18,21
0.24778,0.265,,2021-12-21,1
0.269,0.269,,2021-12-21,2
0.4085,0.4085,,2021-12-22,2
0.33183888035500947,0.335,,2021-12-23,46
0.3149883160856502,0.3173333333333333,,2021-12-24,82
0.3721230403020601,0.375,,2021-12-24,48
0.3545700185070944,0.365,,2021-12-25,7
0.384,0.384,,2021-12-27,1
0.39458095238095237,0.395,,2021-12-28,1
0.27749999999999997,0.27749999999999997,,2021-12-29,2
0.1693991234736788,0.15732894736842104,0.23600000000000002,2021-12-31,308
0.264106558450059,0.257,,2021-12-31,29
0.19101921064052488,0.19837610619469026,0.19,2022-01-01,306
0.30724968918358897,0.311,,2022-01-01,57
0.22695156259196045,0.219,0.278,2022-01-02,67
0.38912489415749363,0.39,,2022-01-05,9
0.5778349273822178,0.582,,2022-01-07,12
0.39180694143167033,0.40700000000000003,,2022-01-07,2
0.2901559432933479,0.278,,2022-01-08,139
0.2752037174721189,0.223,,2022-01-08,5
0.3177480229492946,0.3383333333333334,,2022-01-09,50
0.4254,0.435,,2022-01-09,1
0.05152839116719243,0.0,,2022-01-10,2
0.3303955516790232,0.319,,2022-01-11,10
0.327716783459377,0.4315,,2022-01-12,57
0.115,0.115,,2022-01-14,1
0.20405529698581554,0.213,,2022-01-14,35
0.3374789632611978,0.36025,,2022-01-15,154
0.22447826086956524,0.245,,2022-01-15,2
0.2121631564781484,0.224,,2022-01-16,231
0.19708973288814696,0.215,,2022-01-16,56
0.4047169562348803,0.388,,2022-01-18,17
0.40575,0.41200000000000003,,2022-01-18,4
0.12985614907276596,0.13340996784565917,,2022-01-19,217
0.13750816265954288,0.149,,2022-01-19,14
0.16867856901560718,0.16337192118226604,,2022-01-21,231
0.0924995148771022,0.075,,2022-01-21,25
0.29791986463188846,0.291,0.289,2022-01-22,245
0.25921288584027435,0.254,,2022-01-22,17
0.366,0.366,,2022-01-23,1
0.3011256260434057,0.304,,2022-01-23,19
0.4818005915952673,0.434,,2022-01-24,39
0.3697491166077738,0.365,,2022-01-26,1
0.421,0.421,,2022-01-26,2
0.3449377278833238,0.34900000000000003,,2022-01-27,42
0.22362491153573957,0.23500000000000001,,2022-01-28,11
0.34019968774395004,0.336,,2022-01-30,24
0.22885709306378524,0.274,,2022-01-30,10
0.14956767236800156,0.124,0.17300000000000001,2022-01-31,294
0.10789929964035584,0.07700906735751296,,2022-01-31,103
0.06763363578478192,0.04,,2022-02-01,99
0.015272793102977125,0.013,0.049,2022-02-01,286
0.17956459106133177,0.20800000000000002,0.20500000000000002,2022-02-01,108
0.1629623189203317,0.17256713881019833,0.193,2022-02-01,284
0.0009466617643329867,0.0,0.0,2022-02-02,308
0.01011048075088048,2.646532264341869e-05,,2022-02-02,225
0.11076454852042492,0.114,0.107,2022-02-02,308
0.10506645399651698,0.0845,0.227,2022-02-02,239
0.09885734681390398,0.08300000000000002,,2022-02-03,268
0.23079216602044417,0.216,,2022-02-03,89
0.1853332146173316,0.17400000000000002,0.23700000000000002,2022-02-03,307
0.2768248434896186,0.278,,2022-02-03,88
0.027538594344752594,0.012,0.057,2022-02-04,287
0.1364209856915739,0.116,,2022-02-04,25
