date,1,2,3,4,5,6,PM25_diff
2021-04-11 09:00:00,23.72333333,19.585,41.49,25.79833333,21.91833333,24.39166667,21.905
2021-04-11 10:00:00,24.63833333,20.29833333,38.74833333,24.73333333,20.96,23.00666667,18.450000000000003
2021-04-11 11:00:00,22.78,21.89,33.83333333,24.40833333,21.91833333,23.735,11.943333330000002
2021-04-11 12:00:00,22.69333333,23.89,36.78333333,25.52666667,24.355,26.78666667,14.089999999999996
2021-04-11 13:00:00,28.30166667,22.54333333,40.48166667,29.45833333,20.05,28.31,20.431666670000002
2021-04-11 14:00:00,24.405,19.87333333,26.59666667,33.47333333,19.23,21.87,14.243333330000002
2021-04-11 15:00:00,21.62666667,17.81333333,27.39833333,28.025,17.995,19.15833333,10.21166667
2021-04-11 16:00:00,23.98,17.45,25.41206897,21.69166667,18.595,18.53333333,7.962068970000001
2021-04-11 17:00:00,26.83166667,19.76666667,29.34833333,25.10666667,20.26333333,20.64,9.58166666
2021-04-11 18:00:00,24.34,21.71333333,31.62333333,27.64,20.72333333,23.23166667,10.900000000000002
2021-04-11 19:00:00,24.47,20.05833333,35.36166667,28.07333333,21.58333333,24.72,15.303333339999998
2021-04-11 20:00:00,23.96166667,21.09333333,37.385,30.40666667,21.52166667,25.68666667,16.291666669999998
2021-04-11 21:00:00,23.4,21.03166667,37.72666667,33.08,21.56833333,25.18333333,16.695
2021-04-11 22:00:00,22.82833333,20.05833333,38.455,33.63666667,21.34,24.95833333,18.39666667
2021-04-11 23:00:00,23.71166667,18.32241379,34.17,33.77166667,19.52,25.40833333,15.847586210000003
2021-04-12 00:00:00,24.49833333,17.36,32.67,32.125,20.505,22.495,15.310000000000002
2021-04-12 01:00:00,32.68833333,16.23333333,34.88166667,29.575,21.01,22.65666667,18.64833334
2021-04-12 02:00:00,25.63,18.92333333,34.64666667,27.765,20.38,23.99827586,15.723333340000003
2021-04-12 03:00:00,26.145,21.42833333,29.37,26.36166667,18.455,20.94833333,10.915000000000003
2021-04-12 04:00:00,31.83333333,21.24333333,30.49666667,31.46333333,18.37833333,22.37,13.454999999999998
2021-04-12 05:00:00,32.82166667,22.90188679,43.60666667,46.06,18.40166667,30.59,27.65833333
2021-04-12 06:00:00,38.78666667,25.04666667,50.10333333,40.55833333,20.88666667,23.57833333,29.216666659999998
2021-04-12 07:00:00,35.38666667,24.72,46.90333333,34.41666667,23.78166667,27.83,23.121666660000002
2021-04-12 08:00:00,36.90333333,27.82333333,44.65166667,28.61,26.16,26.26,18.491666669999997
2021-04-12 09:00:00,32.70338983,27.65333333,38.06,30.28983051,23.59491525,25.78245614,14.465084750000003
2021-04-12 10:00:00,29.1,26.35166667,36.83666667,24.345,24.01,25.91666667,12.826666669999998
2021-04-12 11:00:00,21.13333333,24.66833333,32.77666667,24.485,22.09666667,26.68867925,11.643333339999998
2021-04-12 12:00:00,20.705,23.19833333,32.50833333,23.37833333,22.61833333,25.61166667,11.803333330000001
2021-04-12 13:00:00,22.53666667,20.575,35.76,25.98666667,18.09,22.73166667,17.669999999999998
2021-04-12 14:00:00,22.30833333,12.65166667,17.84166667,16.53333333,9.553333333,10.54666667,12.754999997
2021-04-12 15:00:00,20.27166667,15.67166667,20.36,23.375,14.09,14.62833333,9.285
2021-04-12 16:00:00,33.24333333,17.68666667,28.74310345,21.42,17.34333333,19.825,15.899999999999999
2021-04-12 17:00:00,24.70166667,17.40166667,26.92,23.495,15.83333333,18.915,11.086666670000001
2021-04-12 18:00:00,32.28333333,18.22166667,26.17,24.45,15.75833333,17.86166667,16.525
2021-04-12 19:00:00,19.885,15.645,23.405,27.72333333,16.03,17.37358491,12.07833333
2021-04-12 20:00:00,19.3,14.945,26.12,25.75166667,16.38166667,19.97,11.175
2021-04-12 21:00:00,20.52,16.02166667,25.83666667,23.345,15.82,18.32666667,10.01666667
2021-04-12 22:00:00,18.65666667,16.51666667,23.24166667,27.29,15.44666667,17.39666667,11.843333329999998
2021-04-12 23:00:00,17.25833333,16.09137931,22.39298246,30.23833333,14.40833333,17.10677966,15.83
2021-04-13 00:00:00,21.03166667,15.17166667,23.70833333,25.29666667,15.20166667,17.235,10.125
2021-04-13 01:00:00,18.21666667,15.50166667,23.335,26.71166667,15.10166667,18.81206897,11.61
2021-04-13 02:00:00,22.41833333,16.90526316,26.97333333,28.715,16.62166667,19.16333333,12.09333333
2021-04-13 03:00:00,18.24666667,20.01833333,24.365,28.11,15.22666667,19.1,12.88333333
2021-04-13 04:00:00,19.49666667,18.20166667,31.13,31.775,16.26166667,21.59666667,15.513333329999998
2021-04-13 05:00:00,18.825,20.30666667,49.06,32.83666667,15.24666667,18.53333333,33.813333330000006
2021-04-13 06:00:00,21.63666667,21.90833333,41.78333333,31.03,16.4490566,21.59833333,25.33427673
2021-04-13 07:00:00,25.75666667,22.38,34.26166667,28.65666667,17.88139535,22.12333333,16.38027132
2021-04-13 08:00:00,25.61,22.43166667,36.48333333,30.185,20.8372549,25.17,15.64607843
2021-04-13 09:00:00,23.99666667,22.13,39.90666667,32.345,25.375,28.96333333,17.77666667
2021-04-13 10:00:00,22.82833333,19.7,43.67166667,30.50166667,25.47666667,29.26833333,23.97166667
2021-04-13 11:00:00,20.18666667,17.76,37.36833333,29.26,21.3,23.34833333,19.608333329999997
2021-04-13 12:00:00,22.11166667,17.10666667,29.61833333,22.715,19.37666667,20.395,12.51166666
2021-04-13 13:00:00,19.385,15.375,26.73684211,20.56,16.95833333,18.39444444,11.361842110000001
2021-04-13 14:00:00,17.12833333,13.83833333,23.99666667,18.51166667,16.51333333,17.94745763,10.15833334
2021-04-13 15:00:00,16.185,14.22333333,19.88,19.98833333,16.585,17.49833333,5.764999999999999
2021-04-13 16:00:00,16.40166667,16.38333333,20.87833333,20.5,15.465,16.30166667,5.41333333
2021-04-13 17:00:00,15.355,16.27333333,23.03166667,20.50333333,14.72666667,15.39,8.305
2021-04-13 18:00:00,16.15666667,15.86166667,21.63833333,21.74,13.905,15.57166667,7.834999999999999
2021-04-13 19:00:00,16.105,14.60333333,21.33333333,25.42,13.88666667,15.69333333,11.533333330000001
2021-04-13 20:00:00,20.07333333,14.15666667,20.86,41.47166667,13.805,15.83833333,27.666666669999998
2021-04-13 21:00:00,19.75333333,14.325,19.04166667,27.92,13.92166667,15.39245283,13.998333330000001
2021-04-13 22:00:00,17.43,13.795,18.63666667,29.93,13.86666667,16.20833333,16.134999999999998
2021-04-13 23:00:00,17.08666667,14.43666667,17.395,27.58,13.115,14.015,14.464999999999998
2021-04-14 00:00:00,20.20666667,13.62,17.555,26.565,12.795,13.62,13.770000000000001
2021-04-14 01:00:00,16.68166667,13.20333333,16.8559322,24.405,12.89833333,13.27931034,11.506666670000001
2021-04-14 02:00:00,17.98,14.41551724,18.29333333,22.355,12.77166667,13.78,9.58333333
2021-04-14 03:00:00,17.17,14.55849057,18.61166667,25.24333333,12.71166667,15.55333333,12.531666659999999
2021-04-14 04:00:00,17.01,13.77666667,16.26833333,25.86333333,12.93833333,13.875,12.924999999999999
2021-04-14 05:00:00,17.95333333,15.64333333,17.80666667,24.46833333,12.815,14.66,11.65333333
2021-04-14 06:00:00,31.38166667,15.845,23.36166667,25.78666667,13.17833333,15.48,18.20333334
2021-04-14 07:00:00,25.92333333,15.60333333,20.77666667,25.07666667,14.33166667,15.18833333,11.591666659999998
2021-04-14 08:00:00,18.52833333,14.41333333,21.99166667,26.96,13.82,17.27833333,13.14
2021-04-14 09:00:00,20.885,14.665,22.28166667,21.08166667,16.66037736,16.94333333,7.616666670000001
2021-04-14 10:00:00,14.62666667,14.85714286,25.00333333,17.29,16.67666667,15.765,10.37666666
2021-04-14 11:00:00,15.47166667,14.43392857,33.76333333,19.29833333,15.86833333,18.90333333,19.329404760000003
2021-04-14 12:00:00,17.01666667,15.80166667,29.22666667,19.31,17.105,17.91333333,13.425
2021-04-14 13:00:00,20.21333333,18.66166667,31.34655172,20.81,16.87833333,18.97666667,14.46821839
2021-04-14 14:00:00,22.565,20.87166667,40.97833333,20.00833333,17.53666667,19.89333333,23.44166666
2021-04-14 15:00:00,21.8245614,19.975,35.765,21.79,17.14833333,22.335,18.61666667
2021-04-14 16:00:00,21.12372881,20.34166667,36.60666667,20.85833333,19.19333333,23.295,17.41333334
2021-04-14 17:00:00,18.14333333,17.59166667,29.11333333,19.63833333,14.57,17.11666667,14.54333333
2021-04-14 18:00:00,16.61333333,16.55833333,22.17833333,17.56833333,13.26166667,13.17833333,9.000000000000002
2021-04-14 19:00:00,12.615,16.71,18.025,17.55,12.045,12.53166667,5.979999999999999
2021-04-14 20:00:00,11.8,16.38333333,20.11333333,17.06166667,11.21833333,12.49333333,8.895
2021-04-14 21:00:00,12.34,15.33166667,18.73333333,19.68666667,11.28666667,11.91166667,8.4
2021-04-14 22:00:00,15.3,14.445,16.53833333,18.13333333,10.63166667,12.73166667,7.50166666
2021-04-14 23:00:00,20.645,16.99622642,28.525,19.28333333,10.77666667,13.98833333,17.74833333
2021-04-15 00:00:00,15.44,13.42333333,18.07,25.81166667,9.656666667,11.17,16.155000003
2021-04-15 01:00:00,16.48166667,11.68166667,28.48166667,26.72166667,11.34166667,12.02931034,17.14
2021-04-15 02:00:00,16.01833333,9.324137931,16.98,28.38333333,11.14833333,10.05,19.059195399
2021-04-15 03:00:00,16.88833333,9.655,10.53833333,24.57833333,9.321666667,10.93833333,15.256666662999999
2021-04-15 04:00:00,20.06,11.88666667,13.60666667,22.58833333,10.84833333,11.53333333,11.74
2021-04-15 05:00:00,26.02166667,15.91166667,20.94666667,32.075,11.375,15.58166667,20.700000000000003
