time,latitude,longitude,number_x,expver_x,u10,v10,d2m,t2m,blh,number_y,expver_y,avg_tprate,number,expver,tp,ssrd
2021-02-01 00:00:00,10.81,106.62,0,1,-0.15714198,-0.8400146,294.57056,296.51196,101.93535,0,1,0.0,0,1,0.0,103348.0
2021-02-01 01:00:00,10.81,106.62,0,1,-0.27619016,-1.1863022,295.14038,297.89307,370.96948,0,1,0.0,0,1,0.0,755521.56
2021-02-01 02:00:00,10.81,106.62,0,1,-0.21638924,-1.4083738,295.19604,300.38623,573.3225,0,1,0.0,0,1,0.0,1582967.0
2021-02-01 03:00:00,10.81,106.62,0,1,0.15206426,-1.5125275,293.90063,300.88818,957.99976,0,1,0.0,0,1,0.0,2325460.0
2021-02-01 04:00:00,10.81,106.62,0,1,0.59160805,-1.7516966,294.2041,301.92334,1365.8125,0,1,0.0,0,1,0.0,2882973.0
2021-02-01 05:00:00,10.81,106.62,0,1,0.4963349,-1.6402407,294.47192,304.21753,1581.9478,0,1,9.061097e-08,0,1,3.6244393e-07,3034587.0
2021-02-01 06:00:00,10.81,106.62,0,1,0.49723327,-1.3220615,294.4353,304.81787,1703.367,0,1,0.0,0,1,0.0,3090933.0
2021-02-01 07:00:00,10.81,106.62,0,1,0.4685192,-0.8434992,293.25537,304.95044,1792.7258,0,1,2.718329e-07,0,1,1.0873309e-06,2512752.0
2021-02-01 08:00:00,10.81,106.62,0,1,0.20053309,-0.19816905,293.2412,304.82495,1806.4883,0,1,6.3427683e-07,0,1,2.1746628e-06,1878833.0
2021-02-01 09:00:00,10.81,106.62,0,1,-0.24191839,0.9601281,292.78467,304.43945,1524.2341,0,1,2.5371073e-06,0,1,9.423542e-06,1305166.0
2021-02-01 10:00:00,10.81,106.62,0,1,-0.7301267,2.304573,293.6255,302.49292,851.2158,0,1,0.0,0,1,0.0,716519.2
2021-02-01 11:00:00,10.81,106.62,0,1,-1.2399769,2.9619293,293.8423,301.5962,375.8916,0,1,0.0,0,1,0.0,178642.81
2021-02-01 12:00:00,10.81,106.62,0,1,-1.7747126,3.4155884,294.64673,300.88452,367.3816,0,1,0.0,0,1,0.0,0.0
2021-02-01 13:00:00,10.81,106.62,0,1,-1.7386694,3.190442,293.74023,299.3501,330.77515,0,1,0.0,0,1,0.0,0.0
2021-02-01 14:00:00,10.81,106.62,0,1,-1.634759,2.5528889,293.615,298.47095,297.47925,0,1,0.0,0,1,0.0,0.0
2021-02-01 15:00:00,10.81,106.62,0,1,-1.5802784,1.9160118,294.54028,298.88745,294.5398,0,1,0.0,0,1,0.0,0.0
2021-02-01 16:00:00,10.81,106.62,0,1,-1.3748484,1.2471952,293.38208,297.7744,287.7461,0,1,0.0,0,1,0.0,0.0
2021-02-01 17:00:00,10.81,106.62,0,1,-0.9249777,0.83043075,293.3899,296.79565,233.69286,0,1,0.0,0,1,0.0,0.0
2021-02-01 18:00:00,10.81,106.62,0,1,-0.29659027,1.1739302,293.50122,296.59448,110.95389,0,1,0.0,0,1,0.0,0.0
2021-02-01 19:00:00,10.81,106.62,0,1,0.08316094,1.1322565,293.38232,296.50366,101.1696,0,1,0.0,0,1,0.0,0.0
2021-02-01 20:00:00,10.81,106.62,0,1,-0.033917867,1.2751665,293.56323,295.89478,126.399,0,1,0.0,0,1,0.0,0.0
2021-02-01 21:00:00,10.81,106.62,0,1,-0.47901827,1.2644854,294.27295,296.42798,150.0304,0,1,0.0,0,1,0.0,0.0
2021-02-01 22:00:00,10.81,106.62,0,1,-0.7936588,0.8240376,294.19775,295.7732,131.25389,0,1,0.0,0,1,0.0,0.0
2021-02-01 23:00:00,10.81,106.62,0,1,-0.62325794,-0.24988508,294.14844,295.73608,93.74646,0,1,0.0,0,1,0.0,0.0
2021-02-02 00:00:00,10.81,106.62,0,1,-0.065288424,-0.83228755,293.9536,295.96094,117.160706,0,1,0.0,0,1,0.0,105024.81
2021-02-02 01:00:00,10.81,106.62,0,1,-0.23686123,-0.7742764,294.0056,296.45947,353.6836,0,1,0.0,0,1,0.0,764960.56
2021-02-02 02:00:00,10.81,106.62,0,1,0.0990693,-1.0596848,294.59717,300.0298,535.4219,0,1,0.0,0,1,0.0,1595980.0
2021-02-02 03:00:00,10.81,106.62,0,1,0.5700553,-1.3378267,293.0183,300.62427,899.7344,0,1,0.0,0,1,0.0,2334270.0
2021-02-02 04:00:00,10.81,106.62,0,1,1.1256475,-1.7255201,293.6731,302.1482,1395.0806,0,1,0.0,0,1,0.0,2885520.0
2021-02-02 05:00:00,10.81,106.62,0,1,1.1857738,-1.8222523,293.6023,303.9226,1741.0459,0,1,6.197632e-08,0,1,2.4790546e-07,3128750.0
2021-02-02 06:00:00,10.81,106.62,0,1,1.1257677,-1.7184877,293.53027,304.66187,1937.5471,0,1,0.0,0,1,0.0,2986380.0
2021-02-02 07:00:00,10.81,106.62,0,1,0.94942296,-1.3576374,292.15942,304.91235,2084.1106,0,1,0.0,0,1,0.0,2826126.0
2021-02-02 08:00:00,10.81,106.62,0,1,0.5830202,-0.8453926,291.7422,304.88037,2124.4165,0,1,0.0,0,1,0.0,2127297.0
2021-02-02 09:00:00,10.81,106.62,0,1,0.16797757,0.21875238,290.85596,304.6704,1894.0391,0,1,0.0,0,1,0.0,1665264.0
2021-02-02 10:00:00,10.81,106.62,0,1,-0.104392946,1.8107052,292.9795,302.56445,1311.6416,0,1,0.0,0,1,0.0,817343.9
2021-02-02 11:00:00,10.81,106.62,0,1,-0.8376015,2.8617153,292.90454,301.0127,357.36597,0,1,0.0,0,1,0.0,217041.38
2021-02-02 12:00:00,10.81,106.62,0,1,-1.6307135,3.4403954,293.06567,300.4043,396.07812,0,1,0.0,0,1,0.0,0.0
2021-02-02 13:00:00,10.81,106.62,0,1,-2.0391035,3.1569557,293.60376,298.88306,373.08667,0,1,0.0,0,1,0.0,0.0
2021-02-02 14:00:00,10.81,106.62,0,1,-1.8593969,2.274972,293.81543,297.896,329.60034,0,1,0.0,0,1,0.0,0.0
2021-02-02 15:00:00,10.81,106.62,0,1,-1.5775852,1.3803539,294.85303,298.28638,310.66724,0,1,0.0,0,1,0.0,0.0
