time,latitude,longitude,number_x,expver_x,u10,v10,d2m,t2m,blh,number_y,expver_y,avg_tprate,number,expver,tp,ssrd
2021-02-02 12:00:00,10.8,106.7,0,1,-1.7380466,3.4035692,293.26245,300.04297,404.1704,0,1,0.0,0,1,0.0,0.0
2021-02-02 13:00:00,10.8,106.7,0,1,-2.05729,3.0041895,293.66748,298.73535,365.19946,0,1,0.0,0,1,0.0,0.0
2021-02-02 14:00:00,10.8,106.7,0,1,-1.871028,2.1109505,293.85278,297.8689,329.1006,0,1,0.0,0,1,0.0,0.0
2021-02-02 15:00:00,10.8,106.7,0,1,-1.5777359,1.2108536,294.85962,298.2644,312.3767,0,1,0.0,0,1,0.0,0.0
2021-02-02 16:00:00,10.8,106.7,0,1,-1.3545837,0.48514962,293.77563,297.07544,279.625,0,1,0.0,0,1,0.0,0.0
2021-02-02 17:00:00,10.8,106.7,0,1,-1.3559904,0.31255633,293.86182,296.57007,198.63202,0,1,0.0,0,1,0.0,0.0
2021-02-02 18:00:00,10.8,106.7,0,1,-1.4060555,0.4066639,293.85596,296.27173,139.44081,0,1,0.0,0,1,0.0,0.0
2021-02-02 19:00:00,10.8,106.7,0,1,-1.3415747,0.34348363,293.81152,296.08008,107.34723,0,1,0.0,0,1,0.0,0.0
2021-02-02 20:00:00,10.8,106.7,0,1,-1.2153883,-0.14927912,293.85913,295.688,80.02954,0,1,0.0,0,1,0.0,0.0
2021-02-02 21:00:00,10.8,106.7,0,1,-0.1989333,-1.1450415,294.45312,296.0725,55.01445,0,1,0.0,0,1,0.0,0.0
2021-02-02 22:00:00,10.8,106.7,0,1,0.4637121,-1.2291393,293.59473,294.99707,70.75522,0,1,0.0,0,1,0.0,0.0
2021-02-02 23:00:00,10.8,106.7,0,1,0.40231818,-1.2574492,293.71777,295.04614,90.58093,0,1,0.0,0,1,0.0,0.0
2021-02-03 00:00:00,10.8,106.7,0,1,1.0242682,-1.0413647,293.37402,295.24243,115.041336,0,1,0.0,0,1,0.0,106995.5
2021-02-03 01:00:00,10.8,106.7,0,1,0.7693694,-1.2646198,293.67554,296.8391,353.3396,0,1,0.0,0,1,0.0,772032.9
2021-02-03 02:00:00,10.8,106.7,0,1,0.3230968,-1.250659,292.51294,299.86084,594.4514,0,1,0.0,0,1,0.0,1626983.0
2021-02-03 03:00:00,10.8,106.7,0,1,0.014326811,-0.47043008,291.61133,300.15356,831.3154,0,1,0.0,0,1,0.0,2384730.0
2021-02-03 04:00:00,10.8,106.7,0,1,-0.014442157,0.16976917,292.72852,301.56372,1048.7881,0,1,0.0,0,1,0.0,2949159.0
2021-02-03 05:00:00,10.8,106.7,0,1,-0.069669485,0.34617263,292.92554,303.25244,1250.2336,0,1,0.0,0,1,0.0,3259098.0
2021-02-03 06:00:00,10.8,106.7,0,1,-0.19681108,0.40431982,293.136,303.74048,1451.1597,0,1,0.0,0,1,0.0,3279385.0
2021-02-03 07:00:00,10.8,106.7,0,1,-0.6040748,0.4403764,293.3352,304.14014,1662.0688,0,1,0.0,0,1,0.0,3034891.0
2021-02-03 08:00:00,10.8,106.7,0,1,-0.8897859,0.7947401,292.77734,304.07983,1734.6858,0,1,0.0,0,1,0.0,2141457.0
2021-02-03 09:00:00,10.8,106.7,0,1,-0.93493855,1.7825298,291.52124,304.16724,1513.1128,0,1,0.0,0,1,0.0,1441002.0
2021-02-03 10:00:00,10.8,106.7,0,1,-0.7417164,3.1192093,293.7998,301.96655,704.37866,0,1,0.0,0,1,0.0,785557.7
2021-02-03 11:00:00,10.8,106.7,0,1,-0.95686233,3.607541,294.10425,300.88086,401.2224,0,1,0.0,0,1,0.0,217139.31
2021-02-03 12:00:00,10.8,106.7,0,1,-1.5967684,3.643466,294.80298,300.1045,343.94995,0,1,0.0,0,1,0.0,0.0
