system:index,aod_055_mean,aod_055_median,aod_055_point,date,pixel_count,.geo
MCD19A2_A2021054_h28v07_061_2023145172655_01,0.39256908177905303,0.39,,2021-02-23,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021054_h28v07_061_2023145172655_02,0.48781464013438447,0.48199999999999993,,2021-02-23,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021055_h28v07_061_2023145174142_01,0.38682632293080055,0.393,,2021-02-24,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021059_h28v07_061_2023145182724_01,0.2475596117424242,0.249,0.246,2021-02-28,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021059_h28v07_061_2023145182724_03,0.29133333333333333,0.322,,2021-02-28,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021060_h28v07_061_2023145183903_02,0.16821755399194693,0.166,,2021-03-01,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021060_h28v07_061_2023145183903_04,0.1717710141173423,0.17500000000000002,,2021-03-01,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021062_h28v07_061_2023145190240_01,0.2499763266178591,0.23800000000000002,,2021-03-03,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021063_h28v07_061_2023145191419_01,0.3494399337723233,0.35300000000000004,0.275,2021-03-04,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021063_h28v07_061_2023145191419_03,0.4125644718792868,0.41000000000000003,,2021-03-04,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021064_h28v07_061_2023145192628_01,0.21818054284021746,0.218,0.229,2021-03-05,294,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021064_h28v07_061_2023145192628_02,0.16446164363845722,0.171,0.20400000000000001,2021-03-05,275,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021066_h28v07_061_2023145194825_01,0.25754190736267185,0.2603493150684932,0.292,2021-03-07,301,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021066_h28v07_061_2023145194825_02,0.2991132707051074,0.292,,2021-03-07,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021067_h28v07_061_2023145195904_02,0.37843897142293065,0.382,,2021-03-08,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021067_h28v07_061_2023145195904_03,0.40678375184638116,0.405,,2021-03-08,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021068_h28v07_061_2023145201151_01,0.7742566636029413,0.765,,2021-03-09,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021069_h28v07_061_2023145202319_01,0.23027175572519115,0.224,,2021-03-10,267,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021070_h28v07_061_2023145203346_01,0.33537464870749634,0.33,0.28,2021-03-11,312,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021070_h28v07_061_2023145203346_02,0.41750660225442837,0.42,,2021-03-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021071_h28v07_061_2023145204432_01,0.16713379321408517,0.159,,2021-03-12,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021071_h28v07_061_2023145204432_02,0.3467034005037783,0.339,,2021-03-12,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021073_h28v07_061_2023145210613_01,0.6480172764227643,0.655,,2021-03-14,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021073_h28v07_061_2023145210613_03,0.5187566445182725,0.511,,2021-03-14,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021074_h28v07_061_2023145211625_02,0.6291130371093752,0.629,,2021-03-15,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021075_h28v07_061_2023145212539_01,0.6790166155831583,0.6786666666666669,,2021-03-16,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021076_h28v07_061_2023145213541_02,0.5126120823798627,0.516,,2021-03-17,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021077_h28v07_061_2023145214453_01,0.3559189463019251,0.361,,2021-03-18,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021078_h28v07_061_2023145215456_01,0.3073638251630044,0.306,,2021-03-19,163,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021082_h28v07_061_2023145223135_01,0.2745192013964652,0.28300000000000003,,2021-03-23,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021082_h28v07_061_2023145223135_02,0.3605,0.3605,,2021-03-23,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021085_h28v07_061_2023145233841_01,0.24351558914299268,0.24399999999999997,,2021-03-26,102,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021086_h28v07_061_2023146000045_01,0.3620816470974837,0.363,0.322,2021-03-27,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021087_h28v07_061_2023146003434_01,0.1961663858466723,0.214,,2021-03-28,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021087_h28v07_061_2023146003434_02,0.39079219804951243,0.388,,2021-03-28,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021089_h28v07_061_2023146013022_03,0.8437956131605183,0.833,,2021-03-30,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021091_h28v07_061_2023146023211_01,0.5057775700934579,0.506,,2021-04-01,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021091_h28v07_061_2023146023211_03,0.2745241730279898,0.275,,2021-04-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021096_h28v07_061_2023146044020_01,0.4278598258753756,0.4247338129496403,0.509,2021-04-06,209,"{""type"":""MultiPoint"",""coordinates"":[]}"
