system:index,aod_055_mean,aod_055_median,aod_055_point,date,pixel_count,.geo
MCD19A2_A2021103_h28v07_061_2023146065656_02,0.41828205128205137,0.424,,2021-04-13,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021105_h28v07_061_2023146073024_03,0.6507419782551047,0.656,,2021-04-15,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021114_h28v07_061_2023146101004_02,0.3360813679245283,0.332,,2021-04-24,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021115_h28v07_061_2023146103007_02,0.371,0.371,,2021-04-25,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021116_h28v07_061_2023146104914_01,0.34256357388316155,0.332,,2021-04-26,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021116_h28v07_061_2023146104914_02,0.17539736263736266,0.168,,2021-04-26,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021119_h28v07_061_2023146115021_01,0.32646325125596976,0.343,,2021-04-29,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021121_h28v07_061_2023146123119_01,0.37239330968068934,0.398,,2021-05-01,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021121_h28v07_061_2023146123119_03,0.3620667891133745,0.369,,2021-05-01,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021122_h28v07_061_2023146124918_02,0.20641246344556297,0.196,0.22,2021-05-02,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021123_h28v07_061_2023146130939_03,0.2355834519126141,0.26,,2021-05-03,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021124_h28v07_061_2023146133329_02,0.4296478532628917,0.42652157598499074,,2021-05-04,105,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021125_h28v07_061_2023146135516_01,0.30895431317986355,0.30557303370786515,0.34600000000000003,2021-05-05,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021125_h28v07_061_2023146135516_02,0.4082243211334121,0.421,,2021-05-05,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021130_h28v07_061_2023146154537_01,0.246,0.246,,2021-05-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021130_h28v07_061_2023146154537_02,0.2954044438896516,0.306,,2021-05-10,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021131_h28v07_061_2023146160602_02,0.384,0.384,,2021-05-11,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021131_h28v07_061_2023146160602_03,0.3881163522012579,0.386,,2021-05-11,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021133_h28v07_061_2023146165253_01,0.4155454545454545,0.421,,2021-05-13,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021133_h28v07_061_2023146165253_04,0.3918076923076923,0.399,,2021-05-13,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021136_h28v07_061_2023146181031_03,0.377,0.377,,2021-05-16,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021139_h28v07_061_2023146191605_03,0.34639999999999993,0.354,,2021-05-19,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021140_h28v07_061_2023146194226_02,0.1694009154214679,0.162,0.211,2021-05-20,219,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021140_h28v07_061_2023146194226_04,0.20576672940495153,0.19299999999999998,0.327,2021-05-20,135,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021148_h28v07_061_2023146232101_01,0.3061125849558393,0.3095,0.455,2021-05-28,120,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021149_h28v07_061_2023146234630_01,0.31857286879169755,0.342,,2021-05-29,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021149_h28v07_061_2023146234630_04,0.33020612582781456,0.316,,2021-05-29,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021150_h28v07_061_2023147000907_02,0.22301748468980206,0.231,,2021-05-30,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021151_h28v07_061_2023147003312_02,0.2777459459459459,0.298,,2021-05-31,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021154_h28v07_061_2023147013946_02,0.41114261744966446,0.41000000000000003,,2021-06-03,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021155_h28v07_061_2023147020258_01,0.3752079694323145,0.361,,2021-06-04,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021155_h28v07_061_2023147020258_03,0.12753214364397442,0.126,,2021-06-04,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021160_h28v07_061_2023147040553_01,0.3938441532853906,0.396,,2021-06-09,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021162_h28v07_061_2023147044846_01,0.2612191082802548,0.263,,2021-06-11,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021164_h28v07_061_2023147053523_02,0.33643328491388264,0.327,,2021-06-13,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021165_h28v07_061_2023147055938_01,0.2838582057823129,0.298,,2021-06-14,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021165_h28v07_061_2023147055938_04,0.3863403010033445,0.406,,2021-06-14,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021167_h28v07_061_2023147064811_02,0.2733174230246074,0.276,,2021-06-16,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021168_h28v07_061_2023147071859_03,0.318,0.318,,2021-06-17,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021169_h28v07_061_2023147074423_03,0.46071153063715525,0.442,,2021-06-18,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021171_h28v07_061_2023147085202_01,0.319183085579911,0.336,,2021-06-20,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021171_h28v07_061_2023147085202_03,0.11062942635146308,0.11066666666666668,,2021-06-20,117,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021174_h28v07_061_2023147101806_01,0.3495421538461539,0.32,,2021-06-23,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021174_h28v07_061_2023147101806_03,0.26304165651644335,0.265,,2021-06-23,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021175_h28v07_061_2023147103938_03,0.31403803207119463,0.312,,2021-06-24,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021176_h28v07_061_2023147110950_02,0.3943491271820449,0.406,,2021-06-25,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021178_h28v07_061_2023147120221_01,0.3256775782155273,0.306,,2021-06-27,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021178_h28v07_061_2023147120221_02,0.31845488242789294,0.331,,2021-06-27,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021179_h28v07_061_2023147122855_02,0.28717247069534546,0.2830000000000001,,2021-06-28,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021179_h28v07_061_2023147122855_03,0.17024730426629164,0.171,,2021-06-28,151,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021180_h28v07_061_2023147125834_01,0.33404873090869136,0.342,,2021-06-29,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021180_h28v07_061_2023147125834_02,0.2636596729158357,0.269,,2021-06-29,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021181_h28v07_061_2023147131926_04,0.3399490555855369,0.34800000000000003,,2021-06-30,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021182_h28v07_061_2023148215515_01,0.2651560475161984,0.24375,0.315,2021-07-01,260,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021182_h28v07_061_2023148215515_02,0.2678116412345509,0.265,0.31,2021-07-01,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021183_h28v07_061_2023148221746_01,0.25350123951182296,0.253,,2021-07-02,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021183_h28v07_061_2023148221746_02,0.21429280454842012,0.222,,2021-07-02,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021184_h28v07_061_2023148224734_03,0.417,0.417,,2021-07-03,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021188_h28v07_061_2023148234852_02,0.38039268292682926,0.376,,2021-07-07,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021191_h28v07_061_2023149003145_01,0.2313942731277533,0.228,,2021-07-10,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021192_h28v07_061_2023149004442_01,0.3840429509853462,0.402,,2021-07-11,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021192_h28v07_061_2023149004442_02,0.382,0.382,,2021-07-11,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021197_h28v07_061_2023149014129_04,0.2567439024390244,0.257,,2021-07-16,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021198_h28v07_061_2023149015209_01,0.27196930763740185,0.362,,2021-07-17,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021198_h28v07_061_2023149015209_02,0.20442641798671438,0.212,,2021-07-17,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021200_h28v07_061_2023149021158_03,0.41400000000000003,0.41400000000000003,,2021-07-19,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021201_h28v07_061_2023149022256_01,0.393,0.393,,2021-07-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021206_h28v07_061_2023149030813_03,0.264628664495114,0.266,,2021-07-25,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021207_h28v07_061_2023149031641_01,0.2695,0.2695,,2021-07-26,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021208_h28v07_061_2023149032618_01,0.434,0.434,,2021-07-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021211_h28v07_061_2023149054247_02,0.2561224950606833,0.26200000000000007,,2021-07-30,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021213_h28v07_061_2023149070901_01,0.35020286753691426,0.354,,2021-08-01,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021214_h28v07_061_2023149074531_02,0.295623027989822,0.28400000000000003,,2021-08-02,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021221_h28v07_061_2023149122610_02,0.3257735556417216,0.377,,2021-08-09,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021228_h28v07_061_2023149171435_01,0.2859572895991193,0.28224685382381415,0.381,2021-08-16,271,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021228_h28v07_061_2023149171435_02,0.09742637362637364,0.078,,2021-08-16,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021229_h28v07_061_2023149174458_01,0.4244065934065934,0.428,,2021-08-17,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021230_h28v07_061_2023149181714_01,0.3357921552619859,0.335,,2021-08-18,105,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021231_h28v07_061_2023149185247_01,0.4814031798893485,0.4585000000000001,,2021-08-19,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021231_h28v07_061_2023149185247_02,0.299,0.299,,2021-08-19,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021233_h28v07_061_2023149200154_01,0.3415,0.3415,,2021-08-21,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021233_h28v07_061_2023149200154_03,0.4314025467241734,0.434,,2021-08-21,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021244_h28v07_061_2023150013931_02,0.6873118856121538,0.319,,2021-09-01,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021256_h28v07_061_2023150072038_01,0.9576824379324379,0.966,,2021-09-13,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021260_h28v07_061_2023150090309_02,0.3640776084967581,0.3408696808510638,,2021-09-17,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021266_h28v07_061_2023150190353_02,0.2926,0.28300000000000003,,2021-09-23,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
