date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
27-02-2021 17:00,2,73.85714286,34.05,61.92797619,956.3642857,52.15828571,429.1809524,29.2,70.37857143
27-02-2021 18:00,2,71.90333333,33.095,61.93265,932.271,52.85283333,421.3833333,29.15166667,70.34666667
27-02-2021 19:00,2,69.47333333,32.22333333,62.4234,916.418,53.51153333,419.2,29.055,70.435
27-02-2021 20:00,2,68.15166667,31.6,65.46605,949.843,54.79756667,419.2,28.97666667,70.755
27-02-2021 21:00,2,66.79833333,30.94666667,63.83021667,933.99,53.9193,419.2,28.9,70.14333333
27-02-2021 22:00,2,64.75428571,30.05714286,62.4234,924.3308571,52.91108571,410.9657143,28.82571429,69.88
27-02-2021 23:00,2,57.53684211,26.75263158,58.06347368,807.0252632,51.30926316,393,28.76315789,68.71578947
28-02-2021 00:00,2,52.51333333,24.855,58.23566667,778.325,50.9081,383.83,28.7,68.81833333
28-02-2021 01:00,2,46.50666667,22.52166667,60.72213333,772.213,52.3196,380.7733333,28.675,69.17166667
28-02-2021 02:00,2,40.525,19.885,63.11045,755.023,53.41743333,369.42,28.58666667,69.46333333
28-02-2021 03:00,2,35.89,17.82333333,65.5642,746.428,54.89166667,368.11,28.52,69.75
28-02-2021 04:00,2,31.55166667,15.83666667,66.57841667,746.81,55.83266667,366.8,28.5,70.07666667
28-02-2021 05:00,2,29.42666667,14.86166667,65.62963333,766.101,55.67583333,366.8,28.455,70.43666667
28-02-2021 06:00,2,26.55833333,13.75833333,65.69506667,811.177,55.7072,367.6733333,28.41333333,70.81
28-02-2021 07:00,2,24.92833333,13.02666667,65.13888333,861.983,55.83266667,389.5066667,28.53666667,70.82666667
28-02-2021 08:00,2,24.175,12.45666667,65.04073333,880.892,55.73856667,393,28.72333333,70.775
28-02-2021 09:00,2,25.385,12.43666667,63.73206667,830.086,54.17023333,394.31,28.915,70.09333333
28-02-2021 10:00,2,25.065,12.04333333,60.39496667,747.383,51.25313333,393,29.18833333,68.96
