system:index,aod_055_mean,aod_055_median,aod_055_point,date,pixel_count,.geo
MCD19A2_A2021054_h28v07_061_2023145172655_01,0.30533794143866155,0.291,0.28400000000000003,2021-02-23,288,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021054_h28v07_061_2023145172655_02,0.29639317438827095,0.2885,0.28800000000000003,2021-02-23,240,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021055_h28v07_061_2023145174142_01,0.38698115429917546,0.375,,2021-02-24,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021055_h28v07_061_2023145174142_02,0.4597478920741989,0.463,,2021-02-24,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021057_h28v07_061_2023145180511_03,0.3469891481280521,0.331,,2021-02-26,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021059_h28v07_061_2023145182724_01,0.2394001050144395,0.22,,2021-02-28,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021059_h28v07_061_2023145182724_03,0.21150000000000002,0.21150000000000002,,2021-02-28,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021060_h28v07_061_2023145183903_02,0.16195688262492342,0.162,0.131,2021-03-01,214,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021060_h28v07_061_2023145183903_04,0.2564943240454077,0.23500000000000001,,2021-03-01,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021062_h28v07_061_2023145190240_01,0.3060149485640807,0.326,,2021-03-03,148,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021063_h28v07_061_2023145191419_01,0.2849000646245316,0.27899999999999997,0.265,2021-03-04,306,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021063_h28v07_061_2023145191419_03,0.37674118001809226,0.38,,2021-03-04,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021064_h28v07_061_2023145192628_01,0.09184550405837719,0.09013185108583245,0.053,2021-03-05,299,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021064_h28v07_061_2023145192628_02,0.06285141195476569,0.05136829066886871,0.039,2021-03-05,306,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021065_h28v07_061_2023145193659_03,0.3158559844307493,0.308,,2021-03-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021066_h28v07_061_2023145194825_01,0.19517561450602647,0.19900000000000004,0.191,2021-03-07,300,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021066_h28v07_061_2023145194825_02,0.19225028950205633,0.19266666666666668,0.218,2021-03-07,198,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021067_h28v07_061_2023145195904_02,0.3161859984710227,0.322,0.315,2021-03-08,243,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021068_h28v07_061_2023145201151_01,0.5913020569794302,0.589,,2021-03-09,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021068_h28v07_061_2023145201151_02,0.35866169154228855,0.359,,2021-03-09,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021069_h28v07_061_2023145202319_01,0.2134536815505795,0.2176365795724466,0.188,2021-03-10,295,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021069_h28v07_061_2023145202319_04,0.389,0.389,,2021-03-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021070_h28v07_061_2023145203346_01,0.26446805333748813,0.273,0.28,2021-03-11,305,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021070_h28v07_061_2023145203346_02,0.32466303562831006,0.329,,2021-03-11,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021071_h28v07_061_2023145204432_01,0.20152348584762103,0.203,,2021-03-12,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021071_h28v07_061_2023145204432_02,0.2364573143662298,0.23782885906040271,0.229,2021-03-12,206,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021072_h28v07_061_2023145205504_03,0.3539949808795411,0.357,,2021-03-13,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021073_h28v07_061_2023145210613_01,0.4924640379019626,0.47350000000000003,0.456,2021-03-14,212,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021073_h28v07_061_2023145210613_03,0.3522901677689948,0.34600000000000003,0.34900000000000003,2021-03-14,196,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021074_h28v07_061_2023145211625_02,0.6303911919888014,0.6,,2021-03-15,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021075_h28v07_061_2023145212539_01,0.601273512602821,0.6103536754507628,0.606,2021-03-16,240,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021076_h28v07_061_2023145213541_02,0.4077957393267724,0.41000000000000003,0.404,2021-03-17,230,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021077_h28v07_061_2023145214453_01,0.3745628882971982,0.37899999999999995,0.462,2021-03-18,187,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021078_h28v07_061_2023145215456_01,0.49515472167881913,0.507,,2021-03-19,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021078_h28v07_061_2023145215456_03,0.3814900398406374,0.404,,2021-03-19,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021081_h28v07_061_2023145222301_03,0.2960260095824777,0.303,,2021-03-22,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021082_h28v07_061_2023145223135_01,0.2518809167912308,0.261,,2021-03-23,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021082_h28v07_061_2023145223135_02,0.32786674132138866,0.34700000000000003,,2021-03-23,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021083_h28v07_061_2023145224114_02,0.314,0.314,,2021-03-24,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021084_h28v07_061_2023145230634_01,0.3248055307760928,0.327,,2021-03-25,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021084_h28v07_061_2023145230634_02,0.2745781990521327,0.256,,2021-03-25,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021085_h28v07_061_2023145233841_01,0.18467069770088781,0.18500000000000003,0.168,2021-03-26,278,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021086_h28v07_061_2023146000045_01,0.30490041200111206,0.3,0.309,2021-03-27,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021087_h28v07_061_2023146003434_01,0.17482622565480183,0.18064804469273746,0.211,2021-03-28,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021087_h28v07_061_2023146003434_02,0.3354172094617758,0.332,,2021-03-28,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021091_h28v07_061_2023146023211_01,0.691625528317836,0.6960000000000001,0.684,2021-04-01,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021091_h28v07_061_2023146023211_03,0.122,0.122,,2021-04-01,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021096_h28v07_061_2023146044020_01,0.28449169855573375,0.299650365630713,0.275,2021-04-06,256,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021096_h28v07_061_2023146044020_02,0.3634663428174879,0.378,,2021-04-06,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021101_h28v07_061_2023146062547_01,0.2255957174543595,0.225,,2021-04-11,139,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021102_h28v07_061_2023146064232_01,0.31053798658181136,0.314,0.293,2021-04-12,230,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021105_h28v07_061_2023146073024_03,0.6628659517426275,0.665,,2021-04-15,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021112_h28v07_061_2023146093705_02,0.3854968684759917,0.382,,2021-04-22,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021114_h28v07_061_2023146101004_01,0.2732670916869389,0.273,,2021-04-24,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021114_h28v07_061_2023146101004_02,0.2565652234249237,0.23800000000000002,,2021-04-24,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021116_h28v07_061_2023146104914_01,0.4111346153846154,0.41100000000000003,,2021-04-26,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021116_h28v07_061_2023146104914_02,0.2820381255901794,0.28650000000000003,0.309,2021-04-26,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021119_h28v07_061_2023146115021_01,0.34779271137026235,0.372,,2021-04-29,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021119_h28v07_061_2023146115021_02,0.425,0.425,,2021-04-29,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021121_h28v07_061_2023146123119_01,0.47411011596603847,0.467,,2021-05-01,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021121_h28v07_061_2023146123119_03,0.37206364513018325,0.365,,2021-05-01,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021122_h28v07_061_2023146124918_02,0.2588677656009419,0.268,,2021-05-02,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021123_h28v07_061_2023146130939_03,0.25581224777400546,0.269,,2021-05-03,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021124_h28v07_061_2023146133329_02,0.3874713375796177,0.387,,2021-05-04,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021125_h28v07_061_2023146135516_01,0.282122168554297,0.28400000000000003,0.292,2021-05-05,239,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021125_h28v07_061_2023146135516_02,0.38005691056910573,0.389,,2021-05-05,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021130_h28v07_061_2023146154537_01,0.39675,0.402,,2021-05-10,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
